r1,r2,r3,r4,r5,r6,r7,r8,label
1275413,271593,28368,33068,95012,68979,26551,29608,0
1388416,1329391,50271,37945,65484,14546,27269,23571,0
2382438,156565,103024,31600,84130,86666,10157,8895,0
1987292,901843,110918,61828,94051,77000,38317,43964,0
118848,206858,115592,19764,13215,54215,47530,11786,0
1708788,536620,146450,133691,88649,147449,153541,64405,0
1214362,200913,48773,130578,234081,225304,31996,14583,0
2028830,923983,73719,106084,39222,37825,32832,34145,0
763622,655172,7736,100252,81005,42324,25749,9100,0
1872725,1022167,480014,148344,186654,89415,54761,43782,0
1015902,237737,58960,66308,46492,28423,20508,46111,0
980710,107974,120398,31236,28851,58201,42406,7665,0
1308794,1123837,22232,159753,79826,50905,25789,17862,0
1345719,768258,619,47345,17734,35982,31450,24220,0
1803811,1570875,41904,33648,102699,55355,44005,26710,0
854204,164990,165979,54437,63076,40922,28541,17628,0
1460610,1470358,153176,39396,105999,65620,59989,34518,0
1801282,269849,112709,60619,70446,37449,40195,13578,0
1065577,659501,164301,68559,46691,62903,42268,34219,0
228364,273308,10078,11599,24663,32798,39400,68980,0
296708,838304,44539,58279,51413,22903,10937,25778,0
112348,581484,113121,30003,29273,44779,36935,14610,0
1753042,414693,30432,57847,23236,46435,58935,20424,0
1633762,59730,171426,116826,164842,30930,15523,4658,0
1812475,280194,32835,69749,21129,36448,60599,30501,0
1107208,657318,369067,256895,175838,127406,153384,23674,0
1737181,459126,58437,26464,47307,73593,26927,19966,0
1062707,305517,221836,103829,116581,309757,158360,53637,0
1007881,294342,164950,48866,83964,20738,21512,12713,0
408553,244775,16088,105636,72956,68613,32707,14017,0
1200720,225289,231940,47648,79577,29783,37419,14008,0
187563,714569,430695,95046,96909,159499,184129,171133,0
1050303,128081,307514,54190,48359,27324,42138,32291,0
964563,859375,105976,60553,43072,62561,128635,12429,0
1467725,353084,36589,62015,156286,391928,360038,241011,0
1614315,352322,93465,14145,4812,68959,13487,2420,0
1055364,565905,167314,111098,75661,97292,15971,12534,0
992482,485350,105111,108014,133926,91253,34845,24677,0
1432768,308541,34887,106796,289119,144602,100339,96549,0
155309,321274,122055,16047,35291,16341,80793,36394,0
369187,280839,26008,218045,142717,37339,34031,15215,0
931702,190612,25847,51148,80128,98588,42374,19474,0
2117313,243391,157444,51268,68903,74330,26520,17446,0
880266,207130,82385,150033,88693,88379,54745,30125,0
1385312,34427,405487,526364,165078,216287,26453,53450,0
1228536,231013,235176,390767,146487,275047,90661,43381,0
1209508,458606,287069,89024,73950,60174,93457,20321,0
988924,905694,65655,129507,33808,135038,69192,55301,0
506785,457164,180254,66534,120358,62413,33095,4718,0
2117918,538276,356078,93336,108690,87233,63896,22068,0
1531083,171030,80401,35573,82443,93827,73534,37913,0
529867,186703,36799,67563,60457,144056,196470,101428,0
3168822,348699,12543,126992,23843,26133,11247,12730,0
1635006,529117,51641,26917,65396,103428,74213,39522,0
979127,94583,139980,32819,31859,70710,56899,47940,0
2847952,825310,78615,93795,41445,140968,203378,52177,0
1729834,669787,87853,178044,44527,58239,58027,11984,0
1184509,422527,93557,411873,112984,273939,119536,70487,0
498607,603119,558058,226945,95800,71704,196650,202279,0
1255248,488556,39967,145988,46347,115007,54232,12554,0
780085,941181,26355,51123,35871,47150,13683,16865,0
1216849,615540,1515831,375340,459904,695151,218446,204796,0
935731,334188,106208,95102,85342,170644,148005,108642,0
1857091,1226621,107739,49681,109266,60852,96511,93856,0
518178,168147,137122,67523,79401,159744,111107,116844,0
577582,223648,119928,36604,54148,58005,45308,12954,0
763254,363107,155454,152553,151784,171907,85991,51345,0
420310,42562,67101,48477,49473,52643,63933,72551,0
1945272,348958,29571,135164,96048,22755,8111,2623,0
1389975,1829451,348221,33626,436772,629239,396113,386230,0
736807,400756,282518,93825,166233,124386,106773,77509,0
1598242,285289,73206,32753,81112,98841,78780,20658,0
721269,296321,92365,161839,185410,322750,276214,158863,0
1850710,230788,185012,75857,71679,28114,22183,25622,0
1360332,196782,40516,10041,35529,27781,39548,53238,0
579378,825035,206887,830858,731936,253718,369457,275566,0
419036,252924,69038,136604,31610,55964,25935,27033,0
751948,289628,45495,39272,51633,150910,35949,60443,0
1391833,967644,93956,141806,49159,176652,14689,8370,0
2171745,558561,59662,111422,189966,52454,17581,49211,0
1266054,225444,118642,188491,244676,59390,55656,11586,0
1727551,69048,86672,145112,174059,59734,38549,20587,0
157439,524688,41910,23378,159432,47779,35566,81643,0
1878413,714864,355540,60483,22987,129760,112042,73800,0
1877816,678495,223093,276839,146749,156052,12591,14863,0
3476882,1010303,223844,100868,22142,87527,54017,26246,0
980427,154335,15296,12831,22400,114689,7980,9294,0
288920,1131870,27029,30310,40197,18489,50001,42232,0
1357700,716696,50960,66525,49912,25610,12874,17851,0
849294,36319,65504,116852,40167,34376,83675,37044,0
1599391,549113,82011,144088,92744,87937,24585,43242,0
2446064,431965,18685,62845,33256,21803,33656,57611,0
901269,120844,86159,119804,157517,79245,13957,26965,0
1798091,1252809,16990,28680,75237,31643,14929,9704,0
789280,570628,182389,6607,166245,32815,56772,48532,0
782810,601717,735695,197899,78317,52749,180284,109971,0
1657214,197300,159959,18862,12524,45593,26773,18257,0
1968050,513624,189094,169379,46562,21360,10047,14619,0
2099953,624403,153671,222930,178480,49284,43668,34914,0
1510323,754681,209856,15885,24707,67651,94324,42001,0
1324268,585253,160162,254670,424169,296731,105028,35254,0
2425171,162450,163929,92736,85295,22606,50811,31025,0
398651,230027,79342,20045,29263,70402,51553,22352,0
1184932,317307,103750,59400,87914,79983,35033,14082,0
3345438,1554009,506577,457018,38964,142073,134365,70604,0
633409,143929,243640,55126,106850,28967,72296,52290,0
1737996,175840,18146,176285,74510,55363,41321,32838,0
2920656,884486,103203,70090,79158,29538,22394,47857,0
2050303,286331,59526,99380,55469,91812,118556,103883,0
461863,266518,105436,21363,59162,102249,81001,56611,0
2638331,377186,302476,131565,36269,54961,23205,19128,0
1790868,620840,141594,207624,70015,64159,42862,30571,0
2077563,178213,184854,155442,98645,100560,46427,14965,0
427443,279716,115059,15204,79168,46444,6514,3316,0
2511710,246102,199038,384855,234817,230589,103792,102936,0
1177489,867599,194260,97803,75869,173760,103962,51893,0
1470197,673976,46162,80987,131373,80229,51102,49308,0
